#uniacc,domains,threshold
Q2VPU4;MA0622.1;Mlxip
P70660;MA0623.1;Neurog1
G1MTN6;MA0624.1;NFATC1
Q12968;MA0625.1;NFATC3
P97460;MA0626.1;Npas2
P31362;MA0627.1;Pou2f3
Q14863;MA0628.1;POU6F1
Q810N8;MA0629.1;Rhox11
O15266;MA0630.1;SHOX
Q62233;MA0631.1;Six3
Q32NY8;MA0632.1;Tcfl5
Q9D030;MA0633.1;Twist2
O95076;MA0634.1;ALX3
Q9NY43;MA0635.1;BARHL2
Q9C0J9;MA0636.1;BHLHE41
P07199;MA0637.1;CENPB
O43889;MA0638.1;CREB3
Q10586;MA0639.1;DBP
P78545;MA0640.1;ELF3
Q99607;MA0641.1;ELF4
P19622;MA0642.1;EN2
P62509;MA0643.1;Esrrg
Q8N693;MA0644.1;ESX1
P41212;MA0645.1;ETV6
Q9NP62;MA0646.1;GCM1
Q9NZI5;MA0647.1;GRHL1
P56915;MA0648.1;GSC
Q9UBP5;MA0649.1;HEY2
P31271;MA0650.1;HOXA13
O43248;MA0651.1;HOXC11
Q02556;MA0652.1;IRF8
Q00978;MA0653.1;IRF9
Q2M1V0;MA0654.1;ISX
Q8WYK2;MA0655.1;JDP2
Q8WYK2;MA0656.1;JDP2(var.2)
Q9Y2Y9;MA0657.1;KLF13
Q9UPM6;MA0658.1;LHX6
O15525;MA0659.1;MAFG
Q02080;MA0660.1;MEF2B
P50221;MA0661.1;MEOX1
Q9H2W2;MA0662.1;MIXL1
Q9UH92;MA0663.1;MLX
Q9NP71;MA0664.1;MLXIPL
O60682;MA0665.1;MSC
P28360;MA0666.1;MSX1
P23409;MA0667.1;MYF6
Q15784;MA0668.1;NEUROD2
Q9H2A3;MA0669.1;NEUROG2
Q12857;MA0670.1;NFIA
Q14938;MA0671.1;NFIX
Q8TAU0;MA0672.1;NKX2-3
O15522;MA0673.1;NKX2-8
P78426;MA0674.1;NKX6-1
Q9C056;MA0675.1;NKX6-2
Q9Y466;MA0676.1;Nr2e1
P43136;MA0677.1;Nr2f6
Q13516;MA0678.1;OLIG2
Q9UBC0;MA0679.1;ONECUT1
P23759;MA0680.1;PAX7
Q99453;MA0681.1;Phox2b
P70314;MA0682.1;Pitx1
Q12837;MA0683.1;POU4F2
Q13761;MA0684.1;RUNX3
Q02446;MA0685.1;SP4
O95238;MA0686.1;SPDEF
Q8N5J4;MA0687.1;SPIC
Q13207;MA0688.1;TBX2
Q9UMR3;MA0689.1;TBX20
Q9UL17;MA0690.1;TBX21
Q01664;MA0691.1;TFAP4
P19484;MA0692.1;TFEB
P48281;MA0693.1;Vdr
O15156;MA0694.1;ZBTB7B
A1YPR0;MA0695.1;ZBTB7C
Q15915;MA0696.1;ZIC1
O60481;MA0697.1;ZIC3
Q99592;MA0698.1;ZBTB18
Q6XYB7;MA0699.1;LBX2
P50458;MA0700.1;LHX2
Q9NQ69;MA0701.1;LHX9
Q8TE12;MA0702.1;LMX1A
O60663;MA0703.1;LMX1B
P53776;MA0704.1;Lhx4
O35652;MA0705.1;Lhx8
Q6FHY5;MA0706.1;MEOX2
P50219;MA0707.1;MNX1
P35548;MA0708.1;MSX2
P70354;MA0709.1;Msx3
A8MTQ0;MA0710.1;NOTO
P32242;MA0711.1;OTX1
P32243;MA0712.1;OTX2
O14813;MA0713.1;PHOX2A
O75364;MA0714.1;PITX3
